-2147483646,1,1,1,1,11,-1,-1,-1,-2147483637,1,1,1,1,2
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
7,-1,1610612762,1610612762,1610612762,1610612762,-1,-1,-1,-1,1610612762,1610612762,1610612762,-1,9
7,-1,1610612762,-1,-1,-1,-1,-1,-1,-1,-1,-1,1610612762,-1,9
7,-1,1610612762,-1,1610612762,1610612762,1610612762,-1,1610612762,1610612762,1610612762,-1,1610612762,-1,9
-536870909,-1,1610612762,-1,1610612762,-1,-1,-1,-1,-1,1610612762,-1,1610612762,-1,1610612739
-1,-1,-1,-1,1610612762,-1,624,625,626,-1,1610612762,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,656,657,658,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1610612762,-1,688,689,690,-1,1610612762,-1,-1,-1,-1
-2147483645,-1,1610612762,-1,1610612762,-1,-1,-1,-1,-1,1610612762,-1,1610612762,-1,3
-2147483639,-1,1610612762,-1,1610612762,1610612762,1610612762,-1,1610612762,1610612762,1610612762,-1,1610612762,-1,9
-2147483639,-1,1610612762,-1,-1,-1,-1,-1,-1,-1,-1,-1,1610612762,-1,9
-2147483639,-1,1610612762,-536870886,-536870886,1610612762,-1,-1,-1,1610612762,1610612762,1610612762,1610612762,-1,9
-2147483639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
14,15,15,15,15,-2147483645,-1,-1,-1,3,15,15,15,15,16
