-1,-1,-1,-1,-1,-1,24,32,32,-1,-1,-1,-1,-1,-1
-1,42,36,30,29,36,23,36,29,44,25,37,36,21,-1
-1,44,-1,24,24,24,-1,945,-1,24,24,24,-1,43,-1
-1,21,-1,24,24,24,-1,945,-1,24,24,24,-1,22,-1
-1,37,-1,24,945,24,-1,945,-1,24,945,24,-1,28,-1
-1,32,-1,-1,945,-1,-1,945,-1,-1,945,-1,-1,21,-1
24,43,-1,-1,945,-1,-1,945,-1,-1,945,-1,-1,25,23
28,30,976,976,977,976,976,977,978,978,977,978,978,23,22
23,37,-1,-1,945,-1,-1,945,-1,-1,945,-1,-1,25,23
-1,23,-1,-1,945,-1,-1,945,-1,-1,945,-1,-1,28,-1
-1,44,-1,24,945,24,-1,945,-1,24,945,24,-1,21,-1
-1,37,-1,24,24,24,-1,945,-1,24,24,24,-1,21,-1
-1,22,-1,24,24,24,-1,945,-1,24,24,24,-1,42,-1
-1,31,25,32,42,36,32,25,28,32,29,29,23,21,-1
-2147483608,18,18,20,18,17,25,28,32,18,18,20,20,17,40
